Rank,Symbol,Timeframe,Total Return %,Max Drawdown %,Sharpe Ratio,Sortino Ratio,Win Rate %,Profit Factor,Num Trades,Avg Win ($),Avg Loss ($),Score
1,PIPPINUSD,1h,80.91,7.95,6.177,12.501,74.19,2.687,155,11.2069,-11.9929,0.8812
2,RIVERUSD,1h,32.01,6.56,4.332,7.159,73.68,1.91,133,6.8541,-10.0457,0.6269
3,ZECUSD,1h,38.94,5.79,3.774,9.393,66.42,1.94,134,9.0303,-9.207,0.6247
4,EVAAUSD,1h,46.63,5.7,3.87,7.802,62.35,1.87,170,9.4566,-8.377,0.6239
5,XPLUSD,1h,48.32,7.41,4.112,9.033,60.89,1.806,179,9.9339,-8.5661,0.6133
6,VVVUSD,1h,48.91,14.26,3.707,9.15,60.36,1.783,169,10.9188,-9.323,0.5822
7,PAXGUSD,1h,4.72,1.87,3.202,6.06,55.36,2.117,56,2.8885,-1.6923,0.5559
8,PENGUUSD,1h,32.24,5.75,3.142,6.732,59.88,1.619,172,8.19,-7.553,0.5363
9,BEATUSD,1h,25.13,6.3,3.248,5.555,67.46,1.599,126,7.8952,-10.2385,0.5337
10,PIUSD,1h,19.96,5.57,2.868,6.028,57.82,1.692,147,5.7431,-4.654,0.5122
11,ARCUSD,1h,33.46,10.89,2.786,4.971,60.96,1.566,146,10.3965,-10.3633,0.5115
12,DOTUSD,1h,21.11,7.02,2.832,6.701,57.14,1.686,126,7.2056,-5.6972,0.5073
13,HUSD,1h,30.8,11.59,2.801,6.141,56.67,1.513,150,10.6834,-9.2316,0.4864
14,TRUMPUSD,1h,15.45,4.97,2.49,4.516,59.21,1.48,152,5.2927,-5.1918,0.4683
15,XANUSD,1h,22.85,10.84,2.151,3.871,55.74,1.355,183,8.5487,-7.9445,0.4343
16,SAHARAUSD,1h,16.82,6.15,1.944,4.452,54.92,1.342,193,6.2271,-5.6536,0.4283
17,UNIUSD,1h,13.16,5.1,1.733,3.355,56.06,1.379,132,6.4741,-5.9918,0.4283
18,HYPEUSD,1h,15.96,8.94,2.034,3.885,51.88,1.39,133,8.2367,-6.387,0.4202
19,PUMPUSD,1h,17.64,10.08,1.881,3.835,53.53,1.291,170,8.5941,-7.6666,0.4062
20,ETCUSD,1h,11.05,7.38,1.781,3.946,50.98,1.351,153,5.4547,-4.1989,0.4022
21,XRPUSD,1h,9.07,5.25,1.508,2.948,54.2,1.305,131,5.4622,-4.952,0.3998
22,GIGGLEUSD,1h,16.17,12.43,1.677,3.094,55.28,1.303,161,7.8229,-7.4235,0.398
23,DASHUSD,1h,9.25,5.44,1.636,2.889,51.82,1.299,110,7.0557,-5.8429,0.3956
24,TRXUSD,1h,3.66,4.63,1.585,2.672,56.69,1.284,157,1.8567,-1.8919,0.3931
25,BERAUSD,1h,13.67,7.11,1.651,2.542,52.43,1.241,185,7.2548,-6.4434,0.3928
26,POLUSD,1h,11.98,9.25,1.64,3.423,50.33,1.317,151,6.5436,-5.0335,0.3896
27,JTOUSD,1h,14.01,7.85,1.552,3.174,51.37,1.249,183,7.4823,-6.328,0.3886
